,title,link,price,cat
0,Football Intermediary Certificate,https://www.e-careers.com/courses/football-intermediary-certificate,£496,football
1,Football Intermediary Professional Programme,https://www.e-careers.com/courses/football-intermediary-professional-programme,"£1,663",football
