,title,link,price,cat
0,CeMAP Paper 1 - Online,https://www.e-careers.com/courses/cemap-paper-1,£208,cemap
1,CeMAP Paper 1 - Classroom,https://www.e-careers.com/courses/cemap-classroom-paper-1,  From £663,cemap
2,"CeMAP Paper 1, 2 & 3 - Online",https://www.e-careers.com/courses/cemap-paper-1-2-3,£333,cemap
3,CeMAP Paper 2 & 3 - Online,https://www.e-careers.com/courses/cemap-paper-2-3,£208,cemap
4,CeMAP Paper 2 & 3 - Classroom,https://www.e-careers.com/courses/cemap-classroom-paper-2-3,  From £663,cemap
5,CeMAP Professional Package - Online,https://www.e-careers.com/courses/cemap-professional-package,£417,cemap
