,title,link,price,cat
0,Digital Marketing Professional Certification Programme,https://www.e-careers.com/courses/digital-marketing-professional-certification-programme,missing,digital-marketing
1,Digital Marketing Package with Job Placement,https://www.e-careers.com/courses/digital-marketing-certification-job-guarantee,missing,digital-marketing
2,Level 1 Certificate in Digital Marketing,https://www.e-careers.com/courses/certificate-in-digital-marketing-level-1,£396,digital-marketing
3,Professional Diploma in Digital Marketing - Online,https://www.e-careers.com/courses/digital-marketing-online-course,"£1,188",digital-marketing
4,Professional Diploma in Digital Marketing - Classroom,https://www.e-careers.com/courses/certified-digital-marketing-classroom-course,  From £725,digital-marketing
5,Specialist Professional Diploma in Digital Strategy & Planning - Online,https://www.e-careers.com/courses/professional-diploma-digital-strategy-planning,"£1,246",digital-marketing
6,Specialist Professional Diploma in Search Marketing - Online,https://www.e-careers.com/courses/professional-diploma-search-marketing,"£1,246",digital-marketing
7,Specialist Professional Diploma in Social Media Marketing - Online,https://www.e-careers.com/courses/diploma-in-social-media-marketing-online-course,"£1,246",digital-marketing
8,Specialist Professional Diploma in Social Media Marketing - Classroom,https://www.e-careers.com/courses/social-media-marketing-classroom-course,  From £725,digital-marketing
