,title,link,price,cat
0,IOSH - Managing Safely - Training & Exam,https://www.e-careers.com/courses/iosh-managing-safely-course,£175,workplace-safety
1,IOSH - Working Safely - Training & Exam,https://www.e-careers.com/courses/iosh-working-safely-course-with-exam,£92,workplace-safety
2,NEBOSH Accredited - International General Certificate,https://www.e-careers.com/courses/nebosh-accredited-international-general-certificate,£375,workplace-safety
3,NEBOSH Accredited - International Technical Certificate,https://www.e-careers.com/courses/nebosh-accredited-international-technical-certificate,£375,workplace-safety
4,NEBOSH Accredited - National General Certificate,https://www.e-careers.com/courses/nebosh-accredited-national-general-certificate,£375,workplace-safety
