,title,link,price,cat
0,CIW Web Design Specialist (1D0-520) Online Course,https://www.e-careers.com/courses/ciw-web-design-specialist-online-course-1d0-520,£313,coding-web-development
1,CIW Web Foundations Associate (1D0-610) Online Course,https://www.e-careers.com/courses/ciw-web-foundations-associate-online-course-1d0-610,£292,coding-web-development
2,MCSA SQL Server 2012 (Live Labs Included),https://www.e-careers.com/courses/mcsa-sql-server-2012-live-labs-included,£150,coding-web-development
3,MCSE SQL Server 2012 Business Intelligence,https://www.e-careers.com/courses/mcse-sql-server-2012-business-intelligence,£125,coding-web-development
4,Oracle 12c OCP 1Z0-061: SQL Fundamentals,https://www.e-careers.com/courses/oracle-12c-ocp-1z0-061-sql-fundamentals,£100,coding-web-development
5,Oracle 12c OCP 1Z0-062: Installation and Administration,https://www.e-careers.com/courses/oracle-12c-ocp-1z0-062-installation-administration,£100,coding-web-development
6,User Experience (UX) Design for Successful Software - Classroom,https://www.e-careers.com/courses/user-experience-ux-design-for-successful-software-classroom,"  From £1,650",coding-web-development
7,User Experience (UX) Design for Successful Software - LiveOnline,https://www.e-careers.com/courses/user-experience-ux-design-for-successful-software-liveonline,"  From £1,650",coding-web-development
